2021-08-07 14:11:54.471 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:11:54.477 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:11:54.485 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:11:54.772 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:11:54.779 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:11:54.789 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:None
2021-08-07 14:11:54.808 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：6,1,50,自动_2
2021-08-07 14:11:56.816 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:11:56.825 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:11:56.831 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:11:56.837 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:11:57.086 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:11:57.091 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:11:57.097 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:None
2021-08-07 14:11:57.107 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：7,2,50,自动_3
2021-08-07 14:11:59.114 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:11:59.147 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:11:59.159 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:11:59.172 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:11:59.562 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:11:59.570 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:11:59.580 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:None
2021-08-07 14:11:59.597 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：8,2,50,自动_4
2021-08-07 14:12:01.607 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:12:01.625 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:12:01.640 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:12:01.649 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:12:01.930 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:12:01.937 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:12:01.947 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:None
2021-08-07 14:12:01.964 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:12:01.970 | SUCCESS  | api.fileTaskApi:file_del:30 - 删除文件广播任务
2021-08-07 14:12:02.459 | SUCCESS  | scripts.test_fileTask:test_file_del:61 - 删除任务ID:873569140814516224,873569150616604672,873569160502579200,873569170925424640
2021-08-07 14:12:02.466 | SUCCESS  | scripts.test_fileTask:test_file_del:62 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:12:02.472 | SUCCESS  | scripts.test_fileTask:test_file_del:63 - 响应状态码:200
2021-08-07 14:15:47.667 | SUCCESS  | api.tokenApi:__init__:12 - ————————————————————> 初始化获取【登录】接口资源
2021-08-07 14:15:47.671 | SUCCESS  | api.tokenApi:getToken:15 - 用户登录获取token
2021-08-07 14:15:47.848 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：5,0,50,自动_1
2021-08-07 14:15:49.857 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:15:49.877 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:15:49.906 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:15:49.925 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:15:50.179 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:15:50.188 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:15:50.202 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:['873570128325644288']
2021-08-07 14:15:50.225 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：6,1,50,自动_2
2021-08-07 14:15:52.236 | SUCCESS  | scripts.test_fileTask:test_file_add:33 - 查询终端ID:010102020301,010172021312,010172021315,010172021316,010172021319,010172021323,010172021320,010172021321,010172021317,010172021322,010172021318,112233440309,010172021301,112233440308,202107130306,202107290001,202107310226,202108050240,112233440306,202107300221,112233440368
2021-08-07 14:15:52.256 | SUCCESS  | scripts.test_fileTask:test_file_add:37 - 查询音频文件ID:850781720083828736,850781740975656960,850781769136214016,850781777927475200,856575702202191872,861999060532203520,862363015368806400
2021-08-07 14:15:52.287 | SUCCESS  | api.fileTaskApi:__init__:12 - ——————————————————————————> 初始化【文件广播】接口资源
2021-08-07 14:15:52.307 | SUCCESS  | api.fileTaskApi:file_add:15 - 添加文件广播任务
2021-08-07 14:15:52.542 | SUCCESS  | scripts.test_fileTask:test_file_add:42 - 响应内容:{"status":0,"msg":"成功"}
2021-08-07 14:15:52.547 | SUCCESS  | scripts.test_fileTask:test_file_add:43 - 响应状态码:200
2021-08-07 14:15:52.554 | SUCCESS  | scripts.test_fileTask:test_file_add:49 - 通过任务名称查询ID:['873570128325644288', '873570138282921984']
2021-08-07 14:15:52.562 | SUCCESS  | scripts.test_fileTask:test_file_add:27 - 获取参数：7,2,50,自动_3
